"Amplitude(Frequency), created by Plot Digitizer, 2.6.8",
"Date: 27/07/16, 10:39:53",
,
,
189,
Frequency,Amplitude
1990.05,-63.9232
4643.45,-52.0682
10613.6,-75.0107
13930.3,-76.9723
21890.5,-69.2111
37147.6,-70.8316
40464.3,-66.3966
43781.1,-63.3262
50414.6,-62.4733
54394.7,-59.4883
59701.5,-56.0768
65671.6,-52.9211
74295.2,-48.9979
76948.6,-45.1599
81592,-40.8955
86898.8,-36.0341
94859,-31.258
101493,-27.2495
106799,-24.7761
114760,-23.2409
122720,-23.5821
127363,-22.9851
132007,-22.4733
137977,-21.8763
142620,-21.194
147927,-21.6205
152570,-22.8145
155887,-24.6908
159204,-25.7996
166501,-22.4733
171144,-23.838
178441,-25.2878
184411,-27.5053
188391,-29.9787
193035,-33.049
198342,-36.7164
201658,-40.2985
205638,-42.7719
210282,-41.4925
210282,-40.0426
210945,-38.3369
213599,-35.9488
216252,-34.1578
218242,-32.0256
220232,-30.8316
225539,-30.4051
233499,-31.3433
236153,-32.6226
242123,-33.4755
246766,-34.2431
254726,-33.7313
260033,-32.3667
264677,-30.7463
270647,-29.8934
279270,-30.8316
285240,-32.452
289884,-34.4989
293201,-36.3753
297844,-38.2516
300498,-40.8102
305141,-42.3454
311111,-40.8102
313101,-39.1045
315755,-37.2281
319735,-35.8635
323051,-34.7548
328358,-34.2431
334328,-34.9254
338308,-36.2047
343615,-37.1429
351575,-36.4606
356219,-35.6077
364179,-35.2665
374129,-35.1812
384743,-35.1812
392703,-34.5842
399337,-33.7313
408624,-33.1343
417247,-32.8785
425871,-32.3667
431177,-33.8166
435158,-35.693
437148,-36.887
441791,-37.7399
451078,-37.0576
461692,-36.8017
472305,-37.0576
478275,-37.6546
486899,-38.3369
495522,-38.678
500829,-39.7868
503483,-41.0661
511443,-42.9424
516750,-45.0746
521393,-43.6247
526037,-42.2601
532670,-41.8337
540630,-42.516
547927,-42.8571
554561,-42.3454
561194,-43.0277
567828,-42.516
575124,-41.8337
583085,-43.4542
587065,-45.5864
588391,-47.1215
589718,-49.6802
594362,-52.7505
597015,-51.5565
599005,-49.7655
602985,-48.6567
610282,-48.6567
614925,-49.6802
616915,-51.3006
625539,-53.4328
629519,-55.3945
635489,-57.2708
642123,-58.7207
646766,-59.9147
651410,-61.194
657380,-60.2559
660697,-61.2793
664013,-60
665340,-58.806
670647,-58.9765
674627,-59.6588
678607,-60.9382
678607,-62.0469
685240,-63.838
686567,-65.4584
687894,-67.6759
693201,-65.5437
698507,-63.9232
699834,-62.3028
704478,-61.3646
709121,-59.4883
713101,-57.7825
718408,-56.6738
725705,-55.9915
734328,-56.2473
737645,-57.3561
742289,-59.0618
748259,-60.6823
754229,-62.2175
758872,-63.1557
766833,-62.3881
775456,-61.5352
781426,-60.4264
785406,-59.1471
788723,-57.8678
791376,-56.3326
796683,-54.968
806633,-53.9446
812604,-52.3241
816584,-51.3859
822554,-53.2623
825871,-55.6503
827861,-57.8678
832504,-60.9382
836484,-64.0085
840464,-62.3028
849088,-61.2793
859702,-61.3646
863682,-60.2559
872305,-59.3177
876285,-60.597
878939,-58.806
883582,-57.5267
889552,-55.8209
896849,-53.9446
903483,-52.3241
906136,-50.2772
910116,-48.4861
913433,-46.0981
918740,-44.8188
928690,-45.3305
933997,-43.8806
939967,-42.0896
945274,-41.2367
951907,-42.6866
955887,-45.0746
959204,-47.3774
963184,-49.7655
971144,-48.4861
977778,-47.6333
985738,-48.8273
991045,-50.7036
995688,-52.8358
1000330,-54.1151
