Disperse (c)Imperial College NDT Lab																	
1 mm Titanium Free Plate
S0		A0		S1		S2		S3		S4		S5		S6		A1		A2		A3		A4		A5		A6	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0572798	5.46568	0.0166773	0.40424	3.02947	551.147	3.23014	1282.18	6.46012	495.027	9.09006	1319.27	9.69002	2801.27	12.92	33671.2	1.61518	403.27	4.845	5866	6.06056	478.525	8.075	3424.1	11.305	1139.51	12.1201	1350.59
0.132046	5.46491	0.0293137	0.533572	3.02377	157.658	3.23582	199.719	6.4605	241.671	9.09052	441.872	9.69038	565.31	12.9201	918.514	1.61848	91.5025	4.84495	333.938	6.06243	230.094	8.07522	503.416	11.305	478.956	12.1209	534.986
0.206765	5.46347	0.0452304	0.659132	3.01293	91.685	3.24885	108.714	6.46113	159.869	9.09145	265.402	9.69123	314.402	12.9203	465.615	1.62589	51.8288	4.8448	171.856	6.06561	151.526	8.07575	271.697	11.3051	303.199	12.1224	333.591
0.281413	5.4614	0.0642224	0.78031	2.99869	64.4265	3.26754	75.0004	6.46203	119.451	9.09283	189.679	9.69257	217.777	12.9206	311.855	1.63731	36.342	4.84456	115.695	6.07008	113.01	8.0766	186.071	11.3052	221.806	12.1245	242.385
0.35596	5.45866	0.0860623	0.89661	2.98251	49.5212	3.29034	57.4737	6.46319	95.355	9.09467	147.592	9.6944	166.601	12.921	234.442	1.6526	28.1363	4.84424	87.1954	6.07584	90.1522	8.07777	141.496	11.3053	174.866	12.1273	190.369
0.430379	5.45524	0.110515	1.00771	2.96544	40.1225	3.31614	46.7509	6.46462	79.3566	9.09696	120.805	9.69671	134.916	12.9216	187.824	1.67155	23.082	4.84387	69.9589	6.08286	75.0249	8.07926	114.16	11.3054	144.324	12.1308	156.755
0.504638	5.45111	0.137342	1.11342	2.94815	33.6577	3.34418	39.5224	6.46631	67.9624	9.0997	102.26	9.69952	113.372	12.9223	156.674	1.69396	19.6742	4.84344	58.4101	6.09113	64.2792	8.08108	95.6865	11.3056	122.865	12.1349	133.249
0.578705	5.44623	0.166314	1.21367	2.93111	28.9422	3.37398	34.3243	6.46828	59.4358	9.10288	88.6631	9.70283	97.7742	12.9232	134.39	1.71958	17.2332	4.84299	50.1324	6.10062	56.2565	8.08321	82.3673	11.3058	106.962	12.1397	115.89
0.652545	5.44057	0.197209	1.30848	2.91462	25.3539	3.40523	30.4093	6.47052	52.816	9.1065	78.2677	9.70664	85.9605	12.9242	117.659	1.74818	15.4071	4.84254	43.9087	6.11131	50.0412	8.08567	72.3105	11.3061	94.7054	12.1451	102.547
0.72612	5.43409	0.229822	1.39795	2.8989	22.5351	3.43771	27.3568	6.47304	47.5284	9.11055	70.0632	9.71095	76.7044	12.9253	104.635	1.77949	13.9954	4.84211	39.059	6.12316	45.0869	8.08846	64.4492	11.3064	84.9694	12.1512	91.9729
0.799387	5.42672	0.263962	1.48225	2.88414	20.2648	3.47127	24.9113	6.47584	43.2081	9.11501	63.4239	9.71577	69.2574	12.9265	94.21	1.81329	12.8757	4.84174	35.1739	6.13616	41.0471	8.09158	58.1359	11.3067	77.0493	12.1579	83.3878
0.8723	5.41841	0.299455	1.56158	2.87045	18.3997	3.50579	22.9095	6.47893	39.6124	9.1199	57.9415	9.7211	63.1374	12.9279	85.6763	1.84934	11.9688	4.84145	31.9918	6.15026	37.6916	8.09503	52.9549	11.3071	70.4806	12.1653	76.2798
0.944809	5.40909	0.336143	1.63616	2.85796	16.8425	3.54117	21.2415	6.48231	36.5735	9.12518	53.3384	9.72696	58.0195	12.9294	78.5624	1.88744	11.2217	4.84129	29.3382	6.16544	34.8614	8.09882	48.6272	11.3076	64.9447	12.1733	70.2987
1.01686	5.39866	0.373885	1.70623	2.84678	15.5248	3.57737	19.831	6.48599	33.9717	9.13086	49.4191	9.73334	53.6768	12.931	72.5413	1.92737	10.597	4.84127	27.0917	6.18165	32.4431	8.10294	44.9585	11.3082	60.2158	12.1819	65.1968
